zone,track_id,class_id,class_name,dwell_frames,dwell_seconds
left_transit_lane,2581,0,person,4,0.667
left_transit_lane,2592,0,person,15,2.5
left_transit_lane,2721,0,person,7,1.167
left_transit_lane,2729,0,person,35,5.833
left_transit_lane,2776,0,person,122,20.333
left_transit_lane,2826,0,person,7,1.167
left_transit_lane,2831,0,person,24,4.0
left_transit_lane,2847,0,person,69,11.5
left_transit_lane,2852,0,person,14,2.333
left_transit_lane,2856,0,person,3,0.5
left_transit_lane,2892,0,person,58,9.667
left_transit_lane,2896,0,person,2,0.333
left_transit_lane,2897,0,person,1,0.167
left_transit_lane,2900,0,person,2,0.333
left_transit_lane,2917,0,person,4,0.667
left_transit_lane,2927,0,person,4,0.667
left_transit_lane,2952,0,person,19,3.167
left_transit_lane,2999,0,person,6,1.0
left_transit_lane,3005,0,person,15,2.5
left_transit_lane,3011,0,person,8,1.333
left_transit_lane,3020,0,person,37,6.167
left_transit_lane,3059,0,person,3,0.5
left_transit_lane,3060,0,person,11,1.833
machine_service_area,2,1,vat,14,2.333
machine_service_area,3,0,person,462,77.0
machine_service_area,4,0,person,130,21.667
machine_service_area,49,0,person,385,64.167
machine_service_area,66,0,person,25,4.167
machine_service_area,73,0,person,1,0.167
machine_service_area,111,1,vat,13536,2256.0
machine_service_area,140,0,person,2,0.333
machine_service_area,143,0,person,178,29.667
machine_service_area,156,0,person,1627,271.167
machine_service_area,166,0,person,1,0.167
machine_service_area,196,0,person,6,1.0
machine_service_area,235,0,person,7,1.167
machine_service_area,239,0,person,11,1.833
machine_service_area,292,0,person,1,0.167
machine_service_area,333,0,person,21,3.5
machine_service_area,382,0,person,219,36.5
machine_service_area,489,0,person,13,2.167
machine_service_area,505,0,person,24,4.0
machine_service_area,513,0,person,2,0.333
machine_service_area,530,0,person,2,0.333
machine_service_area,532,0,person,43,7.167
machine_service_area,539,0,person,2,0.333
machine_service_area,549,0,person,14,2.333
machine_service_area,559,0,person,16,2.667
machine_service_area,582,0,person,59,9.833
machine_service_area,632,0,person,15,2.5
machine_service_area,647,0,person,5,0.833
machine_service_area,732,0,person,2,0.333
machine_service_area,738,0,person,6,1.0
machine_service_area,747,0,person,46,7.667
machine_service_area,759,0,person,4,0.667
machine_service_area,764,0,person,5,0.833
machine_service_area,787,0,person,6,1.0
machine_service_area,793,0,person,115,19.167
machine_service_area,815,0,person,176,29.333
machine_service_area,829,0,person,6,1.0
machine_service_area,870,0,person,19,3.167
machine_service_area,897,0,person,21,3.5
machine_service_area,900,0,person,11,1.833
machine_service_area,906,0,person,4,0.667
machine_service_area,912,0,person,5,0.833
machine_service_area,931,0,person,6,1.0
machine_service_area,935,0,person,4,0.667
machine_service_area,939,0,person,3,0.5
machine_service_area,956,0,person,4,0.667
machine_service_area,986,0,person,53,8.833
machine_service_area,1006,0,person,21,3.5
machine_service_area,1052,0,person,44,7.333
machine_service_area,1073,0,person,11,1.833
machine_service_area,1134,0,person,39,6.5
machine_service_area,1136,0,person,3,0.5
machine_service_area,1253,0,person,2,0.333
machine_service_area,1334,0,person,15,2.5
machine_service_area,1338,0,person,6,1.0
machine_service_area,1385,0,person,2,0.333
machine_service_area,1486,0,person,1,0.167
machine_service_area,1487,0,person,9,1.5
machine_service_area,1533,0,person,16,2.667
machine_service_area,1545,0,person,2,0.333
machine_service_area,1586,0,person,14,2.333
machine_service_area,1598,0,person,29,4.833
machine_service_area,1614,0,person,14,2.333
machine_service_area,1629,0,person,1,0.167
machine_service_area,1644,0,person,4,0.667
machine_service_area,1647,0,person,22,3.667
machine_service_area,1677,0,person,3,0.5
machine_service_area,1679,0,person,12,2.0
machine_service_area,1689,0,person,1,0.167
machine_service_area,1690,0,person,2,0.333
machine_service_area,1691,0,person,56,9.333
machine_service_area,1733,0,person,1,0.167
machine_service_area,1742,0,person,1,0.167
machine_service_area,1743,0,person,9,1.5
machine_service_area,1772,0,person,30,5.0
machine_service_area,1792,0,person,3,0.5
machine_service_area,1818,0,person,1,0.167
machine_service_area,1842,0,person,1,0.167
machine_service_area,1862,0,person,1,0.167
machine_service_area,1866,0,person,3,0.5
machine_service_area,1867,0,person,1,0.167
machine_service_area,1869,0,person,1,0.167
machine_service_area,1876,0,person,1,0.167
machine_service_area,1877,0,person,8,1.333
machine_service_area,1887,0,person,30,5.0
machine_service_area,1888,0,person,1,0.167
machine_service_area,1890,0,person,3,0.5
machine_service_area,1890,1,vat,1,0.167
machine_service_area,1891,0,person,4,0.667
machine_service_area,1901,0,person,7,1.167
machine_service_area,1903,0,person,1,0.167
machine_service_area,1906,0,person,4,0.667
machine_service_area,1911,0,person,27,4.5
machine_service_area,1937,0,person,13,2.167
machine_service_area,1939,0,person,11,1.833
machine_service_area,1947,0,person,2,0.333
machine_service_area,1958,0,person,6,1.0
machine_service_area,1974,0,person,27,4.5
machine_service_area,1975,0,person,33,5.5
machine_service_area,1976,0,person,22,3.667
machine_service_area,1983,0,person,1,0.167
machine_service_area,1999,0,person,18,3.0
machine_service_area,2013,0,person,20,3.333
machine_service_area,2069,0,person,2,0.333
machine_service_area,2086,0,person,2,0.333
machine_service_area,2088,0,person,3,0.5
machine_service_area,2109,0,person,39,6.5
machine_service_area,2121,0,person,148,24.667
machine_service_area,2121,1,vat,1,0.167
machine_service_area,2138,0,person,4,0.667
machine_service_area,2152,0,person,1,0.167
machine_service_area,2154,0,person,43,7.167
machine_service_area,2182,0,person,16,2.667
machine_service_area,2197,0,person,5,0.833
machine_service_area,2230,0,person,29,4.833
machine_service_area,2239,0,person,51,8.5
machine_service_area,2247,0,person,2,0.333
machine_service_area,2264,0,person,61,10.167
machine_service_area,2269,1,vat,6,1.0
machine_service_area,2285,0,person,297,49.5
machine_service_area,2285,1,vat,1,0.167
machine_service_area,2290,1,vat,196,32.667
machine_service_area,2295,0,person,32,5.333
machine_service_area,2308,0,person,1,0.167
machine_service_area,2310,0,person,39,6.5
machine_service_area,2313,0,person,8,1.333
machine_service_area,2318,0,person,9,1.5
machine_service_area,2321,0,person,1,0.167
machine_service_area,2349,0,person,189,31.5
machine_service_area,2350,1,vat,1,0.167
machine_service_area,2363,0,person,2,0.333
machine_service_area,2363,1,vat,5345,890.833
machine_service_area,2371,0,person,534,89.0
machine_service_area,2384,0,person,3,0.5
machine_service_area,2409,0,person,2,0.333
machine_service_area,2417,0,person,4,0.667
machine_service_area,2426,0,person,5,0.833
machine_service_area,2442,0,person,15,2.5
machine_service_area,2447,0,person,3,0.5
machine_service_area,2452,0,person,3997,666.167
machine_service_area,2461,0,person,92,15.333
machine_service_area,2465,0,person,10,1.667
machine_service_area,2505,0,person,1,0.167
