frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
104,104,17.167,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
105,105,17.333,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
106,106,17.5,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
107,107,17.667,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
108,108,17.833,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
109,109,18.0,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
110,110,18.167,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
111,111,18.333,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
112,112,18.5,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
113,113,18.667,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
114,114,18.833,00:00:18,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
115,115,19.0,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
116,116,19.167,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
117,117,19.333,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
118,118,19.5,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
119,119,19.667,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
120,120,19.833,00:00:19,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
121,121,20.0,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
122,122,20.167,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
